,lyft_display_name,lyft_max_estimate,lyft_min_estimate,lyft_distance,lyft_duration,lyft_category
631,Lyft Line,967,967,1.87,606,Carpool Service
637,Lyft Line,852,852,1.91,398,Carpool Service
643,Lyft Line,1240,1240,3.07,669,Carpool Service
649,Lyft Line,1486,1486,2.18,602,Carpool Service
655,Lyft Line,1100,1100,2.59,571,Carpool Service
661,Lyft Line,324,324,1.94,493,Carpool Service
667,Lyft Line,1170,1170,2.81,644,Carpool Service
673,Lyft Line,1060,1060,2.32,564,Carpool Service
679,Lyft Line,1149,1149,3.04,642,Carpool Service
685,Lyft Line,849,849,1.5,488,Carpool Service
691,Lyft Line,870,870,1.61,492,Carpool Service
697,Lyft Line,1430,1430,2.7,614,Carpool Service
703,Lyft Line,1530,1530,4.14,839,Carpool Service
709,Lyft Line,1450,1450,2.74,625,Carpool Service
715,Lyft Line,1360,1360,2.5,609,Carpool Service
721,Lyft Line,1010,1010,2.32,498,Carpool Service
727,Lyft Line,324,324,1.59,377,Carpool Service
733,Lyft Line,783,783,2.16,689,Carpool Service
739,Lyft Line,1440,1440,3.3,959,Carpool Service
745,Lyft Line,1250,1250,3.22,943,Carpool Service
751,Lyft Line,334,334,2.68,740,Carpool Service
757,Lyft Line,2120,2120,3.05,672,Carpool Service
763,Lyft Line,704,704,1.56,417,Carpool Service
769,Lyft Line,1440,1440,2.69,626,Carpool Service
775,Lyft Line,911,911,2.73,754,Carpool Service
781,Lyft Line,376,376,1.5,484,Carpool Service
787,Lyft Line,786,786,2.38,591,Carpool Service
793,Lyft Line,1290,1290,3.45,660,Carpool Service
799,Lyft Line,1020,1020,2.06,567,Carpool Service
805,Lyft Line,986,986,2.44,640,Carpool Service
811,Lyft Line,1310,1310,2.23,591,Carpool Service
817,Lyft Line,1210,1210,2.69,688,Carpool Service
823,Lyft Line,1180,1180,2.77,638,Carpool Service
829,Lyft Line,1090,1090,2.77,755,Carpool Service
835,Lyft Line,1090,1090,2.33,611,Carpool Service
841,Lyft Line,936,936,3.19,607,Carpool Service
847,Lyft Line,886,886,2.71,730,Carpool Service
853,Lyft Line,322,322,1.72,445,Carpool Service
859,Lyft Line,385,385,2.31,554,Carpool Service
865,Lyft Line,399,399,2.15,640,Carpool Service
871,Lyft Line,306,306,2.55,648,Carpool Service
877,Lyft Line,313,313,1.66,516,Carpool Service
883,Lyft Line,804,804,2.95,810,Carpool Service
889,Lyft Line,352,352,1.62,485,Carpool Service
895,Lyft Line,316,316,2.74,577,Carpool Service
901,Lyft Line,316,316,2.42,629,Carpool Service
907,Lyft Line,760,760,4.14,814,Carpool Service
913,Lyft Line,317,317,2.16,597,Carpool Service
919,Lyft Line,307,307,1.87,557,Carpool Service
925,Lyft Line,315,315,2.64,608,Carpool Service
931,Lyft Line,307,307,2.23,422,Carpool Service
937,Lyft Line,502,502,3.38,735,Carpool Service
943,Lyft Line,352,352,3.24,685,Carpool Service
949,Lyft Line,650,650,3.54,819,Carpool Service
955,Lyft Line,388,388,1.55,466,Carpool Service
961,Lyft Line,347,347,1.52,497,Carpool Service
967,Lyft Line,342,342,2.25,613,Carpool Service
973,Lyft Line,310,310,1.83,599,Carpool Service
979,Lyft Line,467,467,1.55,424,Carpool Service
985,Lyft Line,316,316,2.68,600,Carpool Service
991,Lyft Line,306,306,2.43,618,Carpool Service
997,Lyft Line,305,305,1.88,487,Carpool Service
1003,Lyft Line,310,310,2.47,631,Carpool Service
1009,Lyft Line,360,360,2.96,776,Carpool Service
1015,Lyft Line,617,617,1.89,360,Carpool Service
1021,Lyft Line,817,817,2.68,592,Carpool Service
1027,Lyft Line,320,320,2.58,526,Carpool Service
1033,Lyft Line,320,320,1.73,480,Carpool Service
1039,Lyft Line,331,331,2.68,732,Carpool Service
1045,Lyft Line,316,316,2.57,645,Carpool Service
1051,Lyft Line,308,308,2.15,650,Carpool Service
1057,Lyft Line,428,428,2.54,670,Carpool Service
1063,Lyft Line,312,312,2.21,600,Carpool Service
1069,Lyft Line,328,328,2.51,605,Carpool Service
1075,Lyft Line,367,367,2.52,489,Carpool Service
1081,Lyft Line,354,354,2.33,530,Carpool Service
1087,Lyft Line,323,323,2.11,468,Carpool Service
1093,Lyft Line,337,337,2.37,589,Carpool Service
1099,Lyft Line,327,327,2.06,516,Carpool Service
1105,Lyft Line,353,353,2.44,493,Carpool Service
1111,Lyft Line,379,379,3.19,663,Carpool Service
1117,Lyft Line,444,444,3.36,715,Carpool Service
1123,Lyft Line,325,325,1.99,515,Carpool Service
1129,Lyft Line,327,327,1.99,587,Carpool Service
1135,Lyft Line,342,342,2.68,586,Carpool Service
1141,Lyft Line,312,312,1.69,535,Carpool Service
1147,Lyft Line,334,334,2.41,494,Carpool Service
1153,Lyft Line,688,688,3.37,637,Carpool Service
1159,Lyft Line,328,328,2.35,470,Carpool Service
1165,Lyft Line,322,322,2.38,418,Carpool Service
1171,Lyft Line,536,536,3.15,835,Carpool Service
1177,Lyft Line,339,339,2.53,548,Carpool Service
1183,Lyft Line,476,476,1.42,451,Carpool Service
1189,Lyft Line,309,309,2.04,455,Carpool Service
1195,Lyft Line,335,335,2.25,447,Carpool Service
1201,Lyft Line,644,644,2.57,388,Carpool Service
1207,Lyft Line,309,309,2.16,466,Carpool Service
1213,Lyft Line,336,336,2.54,660,Carpool Service
1219,Lyft Line,381,381,3.31,606,Carpool Service
1225,Lyft Line,345,345,2.66,551,Carpool Service
1231,Lyft Line,345,345,2.85,623,Carpool Service
1237,Lyft Line,350,350,2.63,599,Carpool Service
1243,Lyft Line,480,480,1.65,383,Carpool Service
1249,Lyft Line,348,348,1.65,495,Carpool Service
1255,Lyft Line,306,306,2.0,386,Carpool Service
1261,Lyft Line,336,336,2.12,622,Carpool Service
1267,Lyft Line,431,431,1.56,454,Carpool Service
1273,Lyft Line,326,326,2.21,451,Carpool Service
1279,Lyft Line,346,346,2.58,520,Carpool Service
1285,Lyft Line,348,348,2.64,577,Carpool Service
1291,Lyft Line,345,345,2.22,637,Carpool Service
1297,Lyft Line,309,309,1.98,474,Carpool Service
1303,Lyft Line,811,811,2.35,530,Carpool Service
1309,Lyft Line,326,326,1.91,406,Carpool Service
1315,Lyft Line,760,760,2.6,703,Carpool Service
1321,Lyft Line,969,969,2.5,530,Carpool Service
1327,Lyft Line,650,650,3.26,768,Carpool Service
1333,Lyft Line,679,679,3.54,747,Carpool Service
1339,Lyft Line,350,350,2.52,573,Carpool Service
1345,Lyft Line,318,318,1.85,539,Carpool Service
1351,Lyft Line,514,514,1.61,337,Carpool Service
1357,Lyft Line,348,348,3.23,551,Carpool Service
1363,Lyft Line,332,332,2.7,501,Carpool Service
1369,Lyft Line,337,337,2.51,613,Carpool Service
1375,Lyft Line,747,747,2.79,584,Carpool Service
1381,Lyft Line,497,497,1.61,378,Carpool Service
1387,Lyft Line,420,420,3.12,769,Carpool Service
1393,Lyft Line,901,901,2.76,630,Carpool Service
1399,Lyft Line,1050,1050,2.15,571,Carpool Service
1405,Lyft Line,1080,1080,2.41,528,Carpool Service
1411,Lyft Line,1090,1090,2.28,606,Carpool Service
1417,Lyft Line,1280,1280,3.31,618,Carpool Service
1423,Lyft Line,1030,1030,2.49,684,Carpool Service
1429,Lyft Line,395,395,1.61,431,Carpool Service
1435,Lyft Line,413,413,1.83,433,Carpool Service
1441,Lyft Line,817,817,3.19,636,Carpool Service
1447,Lyft Line,336,336,2.64,559,Carpool Service
1453,Lyft Line,318,318,2.41,577,Carpool Service
1459,Lyft Line,442,442,1.62,420,Carpool Service
1465,Lyft Line,356,356,3.01,567,Carpool Service
1471,Lyft Line,728,728,2.88,652,Carpool Service
1477,Lyft Line,794,794,2.93,688,Carpool Service
1483,Lyft Line,340,340,1.63,482,Carpool Service
1489,Lyft Line,320,320,2.01,489,Carpool Service
1495,Lyft Line,760,760,2.21,502,Carpool Service
1501,Lyft Line,337,337,2.65,489,Carpool Service
1507,Lyft Line,789,789,2.63,673,Carpool Service
1513,Lyft Line,308,308,1.83,518,Carpool Service
1519,Lyft Line,325,325,2.5,598,Carpool Service
1525,Lyft Line,480,480,1.47,420,Carpool Service
1531,Lyft Line,447,447,1.53,475,Carpool Service
1537,Lyft Line,446,446,1.73,388,Carpool Service
1543,Lyft Line,329,329,2.33,554,Carpool Service
1549,Lyft Line,342,342,2.15,580,Carpool Service
1555,Lyft Line,331,331,2.74,550,Carpool Service
1561,Lyft Line,336,336,2.33,473,Carpool Service
1567,Lyft Line,338,338,2.35,482,Carpool Service
1573,Lyft Line,381,381,3.31,603,Carpool Service
1579,Lyft Line,306,306,1.72,499,Carpool Service
1585,Lyft Line,429,429,3.43,642,Carpool Service
1591,Lyft Line,804,804,3.4,491,Carpool Service
1597,Lyft Line,828,828,2.35,581,Carpool Service
1603,Lyft Line,334,334,2.29,474,Carpool Service
1609,Lyft Line,781,781,3.92,855,Carpool Service
1615,Lyft Line,409,409,3.14,773,Carpool Service
1621,Lyft Line,300,300,1.72,504,Carpool Service
1627,Lyft Line,354,354,3.11,596,Carpool Service
1633,Lyft Line,464,464,1.4,405,Carpool Service
1639,Lyft Line,324,324,2.13,527,Carpool Service
1645,Lyft Line,480,480,1.61,397,Carpool Service
1651,Lyft Line,383,383,3.18,638,Carpool Service
1657,Lyft Line,336,336,2.32,477,Carpool Service
1663,Lyft Line,542,542,2.48,624,Carpool Service
1669,Lyft Line,377,377,3.24,646,Carpool Service
1675,Lyft Line,330,330,2.75,542,Carpool Service
1681,Lyft Line,345,345,2.9,681,Carpool Service
1687,Lyft Line,362,362,2.96,613,Carpool Service
1693,Lyft Line,1110,1110,4.14,611,Carpool Service
1699,Lyft Line,878,878,3.89,564,Carpool Service
1705,Lyft Line,882,882,3.21,760,Carpool Service
1711,Lyft Line,381,381,3.27,665,Carpool Service
1717,Lyft Line,312,312,1.93,460,Carpool Service
1723,Lyft Line,317,317,1.93,494,Carpool Service
1729,Lyft Line,317,317,2.25,428,Carpool Service
1735,Lyft Line,333,333,2.92,554,Carpool Service
1741,Lyft Line,408,408,2.39,558,Carpool Service
1747,Lyft Line,367,367,2.62,729,Carpool Service
1753,Lyft Line,322,322,2.54,552,Carpool Service
1759,Lyft Line,448,448,3.77,564,Carpool Service
1765,Lyft Line,341,341,2.38,497,Carpool Service
1771,Lyft Line,353,353,2.96,550,Carpool Service
1777,Lyft Line,330,330,2.66,575,Carpool Service
1783,Lyft Line,596,596,2.59,552,Carpool Service
1789,Lyft Line,759,759,2.86,641,Carpool Service
1795,Lyft Line,332,332,2.14,580,Carpool Service
1801,Lyft Line,834,834,3.11,751,Carpool Service
1807,Lyft Line,900,900,2.79,618,Carpool Service
1813,Lyft Line,1010,1010,2.66,564,Carpool Service
1819,Lyft Line,433,433,2.36,543,Carpool Service
1825,Lyft Line,468,468,2.4,573,Carpool Service
1831,Lyft Line,690,690,2.5,564,Carpool Service
1837,Lyft Line,317,317,2.04,392,Carpool Service
1843,Lyft Line,641,641,2.47,649,Carpool Service
1849,Lyft Line,576,576,2.55,609,Carpool Service
1855,Lyft Line,327,327,1.41,340,Carpool Service
1861,Lyft Line,1200,1200,4.63,714,Carpool Service
1867,Lyft Line,344,344,2.14,425,Carpool Service
1873,Lyft Line,326,326,2.26,470,Carpool Service
1879,Lyft Line,331,331,1.53,414,Carpool Service
1885,Lyft Line,457,457,1.41,498,Carpool Service
1891,Lyft Line,548,548,2.75,566,Carpool Service
1897,Lyft Line,437,437,3.77,562,Carpool Service
1903,Lyft Line,330,330,1.86,440,Carpool Service
1909,Lyft Line,341,341,2.46,531,Carpool Service
1915,Lyft Line,818,818,1.93,418,Carpool Service
1921,Lyft Line,328,328,2.65,491,Carpool Service
1927,Lyft Line,1051,1051,2.64,532,Carpool Service
1933,Lyft Line,851,851,1.94,529,Carpool Service
1939,Lyft Line,925,925,2.33,530,Carpool Service
1945,Lyft Line,735,735,1.86,565,Carpool Service
1951,Lyft Line,812,812,3.3,647,Carpool Service
1957,Lyft Line,1230,1230,2.87,679,Carpool Service
1963,Lyft Line,333,333,1.56,332,Carpool Service
1969,Lyft Line,898,898,1.72,455,Carpool Service
1975,Lyft Line,329,329,2.16,552,Carpool Service
1981,Lyft Line,1500,1500,4.14,755,Carpool Service
1987,Lyft Line,362,362,2.33,531,Carpool Service
1993,Lyft Line,838,838,1.39,422,Carpool Service
1999,Lyft Line,937,937,2.76,596,Carpool Service
2005,Lyft Line,1020,1020,2.32,470,Carpool Service
2011,Lyft Line,1180,1180,2.76,607,Carpool Service
2017,Lyft Line,744,744,1.63,406,Carpool Service
2023,Lyft Line,1170,1170,2.79,593,Carpool Service
2029,Lyft Line,1110,1110,2.6,521,Carpool Service
2035,Lyft Line,385,385,2.07,582,Carpool Service
2041,Lyft Line,786,786,1.87,421,Carpool Service
2047,Lyft Line,1170,1170,3.38,713,Carpool Service
2053,Lyft Line,825,825,3.38,627,Carpool Service
2059,Lyft Line,878,878,2.76,562,Carpool Service
2065,Lyft Line,856,856,1.96,502,Carpool Service
2071,Lyft Line,921,921,2.79,589,Carpool Service
2077,Lyft Line,334,334,1.88,592,Carpool Service
2083,Lyft Line,806,806,3.09,675,Carpool Service
2089,Lyft Line,911,911,2.94,602,Carpool Service
2095,Lyft Line,368,368,2.24,539,Carpool Service
2101,Lyft Line,334,334,2.6,561,Carpool Service
2107,Lyft Line,316,316,1.87,510,Carpool Service
2113,Lyft Line,332,332,2.7,569,Carpool Service
2119,Lyft Line,399,399,1.67,475,Carpool Service
2125,Lyft Line,331,331,2.29,578,Carpool Service
2131,Lyft Line,332,332,2.97,549,Carpool Service
2137,Lyft Line,330,330,2.63,592,Carpool Service
2143,Lyft Line,320,320,1.97,447,Carpool Service
2149,Lyft Line,334,334,1.7,474,Carpool Service
2155,Lyft Line,333,333,2.27,538,Carpool Service
2161,Lyft Line,310,310,1.85,530,Carpool Service
2167,Lyft Line,446,446,3.59,632,Carpool Service
2173,Lyft Line,337,337,2.75,664,Carpool Service
2179,Lyft Line,338,338,2.41,596,Carpool Service
2185,Lyft Line,329,329,2.5,485,Carpool Service
2191,Lyft Line,713,713,3.95,698,Carpool Service
2197,Lyft Line,379,379,2.19,565,Carpool Service
2203,Lyft Line,344,344,2.05,529,Carpool Service
2209,Lyft Line,531,531,2.86,447,Carpool Service
2215,Lyft Line,327,327,1.52,487,Carpool Service
2221,Lyft Line,339,339,2.71,628,Carpool Service
2227,Lyft Line,331,331,2.61,531,Carpool Service
2233,Lyft Line,333,333,2.24,553,Carpool Service
2239,Lyft Line,339,339,2.7,549,Carpool Service
2245,Lyft Line,316,316,2.59,556,Carpool Service
2251,Lyft Line,498,498,3.06,653,Carpool Service
2257,Lyft Line,332,332,2.22,431,Carpool Service
2263,Lyft Line,337,337,2.31,493,Carpool Service
2269,Lyft Line,333,333,2.2,569,Carpool Service
2275,Lyft Line,331,331,3.15,549,Carpool Service
2281,Lyft Line,353,353,3.0,627,Carpool Service
2287,Lyft Line,454,454,1.95,311,Carpool Service
2293,Lyft Line,323,323,2.76,712,Carpool Service
2299,Lyft Line,322,322,2.56,548,Carpool Service
2305,Lyft Line,624,624,3.5,719,Carpool Service
2311,Lyft Line,358,358,3.22,644,Carpool Service
2317,Lyft Line,392,392,1.91,390,Carpool Service
2323,Lyft Line,864,864,3.43,797,Carpool Service
2329,Lyft Line,472,472,1.82,532,Carpool Service
2335,Lyft Line,332,332,2.51,646,Carpool Service
2341,Lyft Line,326,326,2.44,492,Carpool Service
2347,Lyft Line,324,324,2.28,407,Carpool Service
2353,Lyft Line,668,668,2.57,630,Carpool Service
2359,Lyft Line,396,396,2.4,522,Carpool Service
2365,Lyft Line,324,324,1.93,545,Carpool Service
2371,Lyft Line,465,465,1.55,383,Carpool Service
2377,Lyft Line,449,449,1.58,225,Carpool Service
2383,Lyft Line,324,324,2.26,406,Carpool Service
2389,Lyft Line,1050,1050,3.41,791,Carpool Service
2395,Lyft Line,1070,1070,3.54,801,Carpool Service
2401,Lyft Line,333,333,2.69,513,Carpool Service
2407,Lyft Line,706,706,3.09,752,Carpool Service
2413,Lyft Line,321,321,1.97,451,Carpool Service
2419,Lyft Line,578,578,2.2,507,Carpool Service
2425,Lyft Line,318,318,2.65,555,Carpool Service
2431,Lyft Line,340,340,2.23,602,Carpool Service
2437,Lyft Line,333,333,2.5,522,Carpool Service
2443,Lyft Line,307,307,1.94,475,Carpool Service
2449,Lyft Line,330,330,2.59,394,Carpool Service
2455,Lyft Line,802,802,3.06,725,Carpool Service
2461,Lyft Line,309,309,2.09,497,Carpool Service
2467,Lyft Line,356,356,3.01,649,Carpool Service
2473,Lyft Line,320,320,2.13,554,Carpool Service
2479,Lyft Line,324,324,2.49,594,Carpool Service
2485,Lyft Line,330,330,2.48,576,Carpool Service
2491,Lyft Line,337,337,2.71,610,Carpool Service
2497,Lyft Line,767,767,2.95,631,Carpool Service
2503,Lyft Line,308,308,1.66,516,Carpool Service
2509,Lyft Line,335,335,2.83,622,Carpool Service
2515,Lyft Line,334,334,2.11,490,Carpool Service
2521,Lyft Line,334,334,2.15,599,Carpool Service
2527,Lyft Line,805,805,3.04,639,Carpool Service
2533,Lyft Line,321,321,2.19,423,Carpool Service
2539,Lyft Line,331,331,2.31,579,Carpool Service
2545,Lyft Line,322,322,2.72,642,Carpool Service
2551,Lyft Line,355,355,2.74,715,Carpool Service
2557,Lyft Line,373,373,3.09,642,Carpool Service
2563,Lyft Line,476,476,1.47,436,Carpool Service
2569,Lyft Line,324,324,2.42,550,Carpool Service
2575,Lyft Line,341,341,2.42,547,Carpool Service
2581,Lyft Line,315,315,2.27,405,Carpool Service
2587,Lyft Line,636,636,3.35,810,Carpool Service
2593,Lyft Line,314,314,2.02,602,Carpool Service
2599,Lyft Line,343,343,2.9,583,Carpool Service
2605,Lyft Line,449,449,1.66,367,Carpool Service
2611,Lyft Line,316,316,2.03,446,Carpool Service
2617,Lyft Line,471,471,1.54,385,Carpool Service
2623,Lyft Line,319,319,1.8,620,Carpool Service
2629,Lyft Line,311,311,1.98,432,Carpool Service
2635,Lyft Line,321,321,2.89,485,Carpool Service
2641,Lyft Line,315,315,2.32,581,Carpool Service
2647,Lyft Line,372,372,3.08,639,Carpool Service
2653,Lyft Line,315,315,2.32,581,Carpool Service
2659,Lyft Line,637,637,3.47,782,Carpool Service
2665,Lyft Line,337,337,2.17,607,Carpool Service
2671,Lyft Line,336,336,2.41,501,Carpool Service
2677,Lyft Line,333,333,2.25,555,Carpool Service
2683,Lyft Line,310,310,1.92,450,Carpool Service
2689,Lyft Line,302,302,2.18,455,Carpool Service
2695,Lyft Line,323,323,2.25,540,Carpool Service
2701,Lyft Line,352,352,3.02,615,Carpool Service
2707,Lyft Line,321,321,2.22,671,Carpool Service
2713,Lyft Line,322,322,1.97,637,Carpool Service
2719,Lyft Line,619,619,3.88,631,Carpool Service
2725,Lyft Line,455,455,1.73,274,Carpool Service
2731,Lyft Line,383,383,3.18,714,Carpool Service
2737,Lyft Line,313,313,1.92,470,Carpool Service
2743,Lyft Line,407,407,3.29,773,Carpool Service
2749,Lyft Line,452,452,1.56,324,Carpool Service
2755,Lyft Line,310,310,2.14,420,Carpool Service
2761,Lyft Line,321,321,2.34,695,Carpool Service
2767,Lyft Line,312,312,1.96,450,Carpool Service
2773,Lyft Line,336,336,2.83,636,Carpool Service
2779,Lyft Line,377,377,1.66,444,Carpool Service
2785,Lyft Line,315,315,2.37,419,Carpool Service
2791,Lyft Line,314,314,2.55,562,Carpool Service
2797,Lyft Line,345,345,3.1,610,Carpool Service
2803,Lyft Line,388,388,3.4,667,Carpool Service
2809,Lyft Line,301,301,1.85,468,Carpool Service
2815,Lyft Line,437,437,1.64,421,Carpool Service
2821,Lyft Line,699,699,1.89,532,Carpool Service
2827,Lyft Line,311,311,1.98,433,Carpool Service
2833,Lyft Line,516,516,1.55,441,Carpool Service
2839,Lyft Line,685,685,2.39,595,Carpool Service
2845,Lyft Line,353,353,3.08,682,Carpool Service
2851,Lyft Line,327,327,2.35,532,Carpool Service
2857,Lyft Line,307,307,2.32,578,Carpool Service
2863,Lyft Line,354,354,2.73,709,Carpool Service
2869,Lyft Line,313,313,1.7,499,Carpool Service
2875,Lyft Line,474,474,1.61,402,Carpool Service
2881,Lyft Line,305,305,2.31,576,Carpool Service
2887,Lyft Line,332,332,2.18,631,Carpool Service
2893,Lyft Line,747,747,3.9,847,Carpool Service
2899,Lyft Line,595,595,1.92,326,Carpool Service
2905,Lyft Line,382,382,1.98,346,Carpool Service
2911,Lyft Line,303,303,2.07,519,Carpool Service
2917,Lyft Line,353,353,2.99,716,Carpool Service
2923,Lyft Line,673,673,3.46,861,Carpool Service
2929,Lyft Line,465,465,1.79,293,Carpool Service
2935,Lyft Line,475,475,2.06,556,Carpool Service
2941,Lyft Line,332,332,2.35,565,Carpool Service
2947,Lyft Line,364,364,1.96,335,Carpool Service
2953,Lyft Line,324,324,2.71,582,Carpool Service
2959,Lyft Line,313,313,1.93,467,Carpool Service
2965,Lyft Line,312,312,1.78,515,Carpool Service
2971,Lyft Line,439,439,1.63,432,Carpool Service
2977,Lyft Line,606,606,3.43,815,Carpool Service
2983,Lyft Line,501,501,1.73,428,Carpool Service
2989,Lyft Line,398,398,3.1,784,Carpool Service
2995,Lyft Line,328,328,2.78,661,Carpool Service
3001,Lyft Line,341,341,3.0,611,Carpool Service
3007,Lyft Line,318,318,1.95,496,Carpool Service
3013,Lyft Line,334,334,2.35,519,Carpool Service
3019,Lyft Line,806,806,3.9,772,Carpool Service
3025,Lyft Line,683,683,3.18,670,Carpool Service
3031,Lyft Line,353,353,3.12,663,Carpool Service
3037,Lyft Line,323,323,2.85,595,Carpool Service
3043,Lyft Line,731,731,3.87,790,Carpool Service
3049,Lyft Line,344,344,3.26,709,Carpool Service
3055,Lyft Line,327,327,2.68,542,Carpool Service
3061,Lyft Line,306,306,2.5,663,Carpool Service
3067,Lyft Line,330,330,2.38,595,Carpool Service
3073,Lyft Line,327,327,2.39,726,Carpool Service
3079,Lyft Line,327,327,2.62,495,Carpool Service
3085,Lyft Line,322,322,2.66,584,Carpool Service
3091,Lyft Line,303,303,1.9,465,Carpool Service
