date,day,display_name,estimated_cost_cents_max,estimated_cost_cents_min,estimated_distance_miles,estimated_duration_seconds,ride_type,time
25-Feb-18,Sunday,Lyft,1182,1182,3.82,886,lyft,0:06:04
25-Feb-18,Sunday,Lyft Plus,2066,2066,3.82,886,lyft_plus,0:06:04
25-Feb-18,Sunday,Lyft Lux SUV,4053,4053,3.82,886,lyft_luxsuv,0:06:04
25-Feb-18,Sunday,Lyft Premier,1487,1487,1.99,367,lyft_premier,0:07:03
25-Feb-18,Sunday,Lyft Line,348,348,1.99,367,lyft_line,0:07:03
25-Feb-18,Sunday,Lyft Lux,1962,1962,1.99,367,lyft_lux,0:07:03
25-Feb-18,Sunday,Lyft,757,757,1.99,367,lyft,0:07:03
25-Feb-18,Sunday,Lyft Plus,1280,1280,1.99,367,lyft_plus,0:07:03
25-Feb-18,Sunday,Lyft Lux SUV,2786,2786,1.99,367,lyft_luxsuv,0:07:03
25-Feb-18,Sunday,Lyft Premier,1683,1683,2.28,526,lyft_premier,0:08:03
25-Feb-18,Sunday,Lyft Line,314,314,2.28,526,lyft_line,0:08:03
25-Feb-18,Sunday,Lyft Lux,2203,2203,2.28,526,lyft_lux,0:08:03
25-Feb-18,Sunday,Lyft,850,850,2.28,526,lyft,0:08:03
25-Feb-18,Sunday,Lyft Plus,1449,1449,2.28,526,lyft_plus,0:08:03
25-Feb-18,Sunday,Lyft Lux SUV,3051,3051,2.28,526,lyft_luxsuv,0:08:03
25-Feb-18,Sunday,Lyft Premier,1802,1802,2.46,620,lyft_premier,0:09:04
25-Feb-18,Sunday,Lyft Line,317,317,2.46,620,lyft_line,0:09:04
25-Feb-18,Sunday,Lyft Lux,2350,2350,2.46,620,lyft_lux,0:09:04
25-Feb-18,Sunday,Lyft,906,906,2.46,620,lyft,0:09:04
25-Feb-18,Sunday,Lyft Plus,1553,1553,2.46,620,lyft_plus,0:09:04
25-Feb-18,Sunday,Lyft Lux SUV,3213,3213,2.46,620,lyft_luxsuv,0:09:04
25-Feb-18,Sunday,Lyft Premier,1789,1789,2.44,613,lyft_premier,0:10:04
25-Feb-18,Sunday,Lyft Line,306,306,2.44,613,lyft_line,0:10:04
25-Feb-18,Sunday,Lyft Lux,2334,2334,2.44,613,lyft_lux,0:10:04
25-Feb-18,Sunday,Lyft,900,900,2.44,613,lyft,0:10:04
25-Feb-18,Sunday,Lyft Plus,1541,1541,2.44,613,lyft_plus,0:10:04
25-Feb-18,Sunday,Lyft Lux SUV,3195,3195,2.44,613,lyft_luxsuv,0:10:04
25-Feb-18,Sunday,Lyft Premier,1578,1578,1.83,566,lyft_premier,0:11:03
25-Feb-18,Sunday,Lyft Line,299,299,1.83,566,lyft_line,0:11:03
25-Feb-18,Sunday,Lyft Lux,2052,2052,1.83,566,lyft_lux,0:11:03
25-Feb-18,Sunday,Lyft,809,809,1.83,566,lyft,0:11:03
25-Feb-18,Sunday,Lyft Plus,1362,1362,1.83,566,lyft_plus,0:11:03
25-Feb-18,Sunday,Lyft Lux SUV,2888,2888,1.83,566,lyft_luxsuv,0:11:03
25-Feb-18,Sunday,Lyft Premier,2103,2103,2.9,865,lyft_premier,0:12:03
25-Feb-18,Sunday,Lyft Line,346,346,2.9,865,lyft_line,0:12:03
25-Feb-18,Sunday,Lyft Lux,2719,2719,2.9,865,lyft_lux,0:12:03
25-Feb-18,Sunday,Lyft,1048,1048,2.9,865,lyft,0:12:03
25-Feb-18,Sunday,Lyft Plus,1812,1812,2.9,865,lyft_plus,0:12:03
25-Feb-18,Sunday,Lyft Lux SUV,3619,3619,2.9,865,lyft_luxsuv,0:12:03
25-Feb-18,Sunday,Lyft Premier,1921,1921,2.73,673,lyft_premier,0:13:03
25-Feb-18,Sunday,Lyft Line,317,317,2.73,673,lyft_line,0:13:03
25-Feb-18,Sunday,Lyft Lux,2502,2502,2.73,673,lyft_lux,0:13:03
25-Feb-18,Sunday,Lyft,960,960,2.73,673,lyft,0:13:03
25-Feb-18,Sunday,Lyft Plus,1654,1654,2.73,673,lyft_plus,0:13:03
25-Feb-18,Sunday,Lyft Lux SUV,3379,3379,2.73,673,lyft_luxsuv,0:13:03
25-Feb-18,Sunday,Lyft Premier,1888,1888,2.46,745,lyft_premier,0:14:03
25-Feb-18,Sunday,Lyft Line,323,323,2.46,745,lyft_line,0:14:03
25-Feb-18,Sunday,Lyft Lux,2446,2446,2.46,745,lyft_lux,0:14:03
25-Feb-18,Sunday,Lyft,950,950,2.46,745,lyft,0:14:03
25-Feb-18,Sunday,Lyft Plus,1628,1628,2.46,745,lyft_plus,0:14:03
25-Feb-18,Sunday,Lyft Lux SUV,3320,3320,2.46,745,lyft_luxsuv,0:14:03
25-Feb-18,Sunday,Lyft Premier,1796,1796,2.47,608,lyft_premier,0:15:03
25-Feb-18,Sunday,Lyft Line,307,307,2.47,608,lyft_line,0:15:03
25-Feb-18,Sunday,Lyft Lux,2344,2344,2.47,608,lyft_lux,0:15:03
25-Feb-18,Sunday,Lyft,903,903,2.47,608,lyft,0:15:03
25-Feb-18,Sunday,Lyft Plus,1547,1547,2.47,608,lyft_plus,0:15:03
25-Feb-18,Sunday,Lyft Lux SUV,3206,3206,2.47,608,lyft_luxsuv,0:15:03
25-Feb-18,Sunday,Lyft Premier,1687,1687,2.17,582,lyft_premier,0:16:03
25-Feb-18,Sunday,Lyft Line,316,316,2.17,582,lyft_line,0:16:03
25-Feb-18,Sunday,Lyft Lux,2200,2200,2.17,582,lyft_lux,0:16:03
25-Feb-18,Sunday,Lyft,854,854,2.17,582,lyft,0:16:03
25-Feb-18,Sunday,Lyft Plus,1454,1454,2.17,582,lyft_plus,0:16:03
25-Feb-18,Sunday,Lyft Lux SUV,3049,3049,2.17,582,lyft_luxsuv,0:16:03
25-Feb-18,Sunday,Lyft Premier,2165,2165,3.18,829,lyft_premier,0:17:04
25-Feb-18,Sunday,Lyft Line,548,548,3.18,829,lyft_line,0:17:04
25-Feb-18,Sunday,Lyft Lux,2808,2808,3.18,829,lyft_lux,0:17:04
25-Feb-18,Sunday,Lyft,1074,1074,3.18,829,lyft,0:17:04
25-Feb-18,Sunday,Lyft Plus,1863,1863,3.18,829,lyft_plus,0:17:04
25-Feb-18,Sunday,Lyft Lux SUV,3715,3715,3.18,829,lyft_luxsuv,0:17:04
25-Feb-18,Sunday,Lyft Premier,1622,1622,1.93,595,lyft_premier,0:18:04
25-Feb-18,Sunday,Lyft Line,306,306,1.93,595,lyft_line,0:18:04
25-Feb-18,Sunday,Lyft Lux,2109,2109,1.93,595,lyft_lux,0:18:04
25-Feb-18,Sunday,Lyft,826,826,1.93,595,lyft,0:18:04
25-Feb-18,Sunday,Lyft Plus,1399,1399,1.93,595,lyft_plus,0:18:04
25-Feb-18,Sunday,Lyft Lux SUV,2951,2951,1.93,595,lyft_luxsuv,0:18:04
25-Feb-18,Sunday,Lyft Premier,2172,2172,3.16,851,lyft_premier,0:19:04
25-Feb-18,Sunday,Lyft Line,561,561,3.16,851,lyft_line,0:19:04
25-Feb-18,Sunday,Lyft Lux,2815,2815,3.16,851,lyft_lux,0:19:04
25-Feb-18,Sunday,Lyft,1078,1078,3.16,851,lyft,0:19:04
25-Feb-18,Sunday,Lyft Plus,1870,1870,3.16,851,lyft_plus,0:19:04
25-Feb-18,Sunday,Lyft Lux SUV,3723,3723,3.16,851,lyft_luxsuv,0:19:04
25-Feb-18,Sunday,Lyft Premier,1985,1985,2.77,750,lyft_premier,0:20:04
25-Feb-18,Sunday,Lyft Line,317,317,2.77,750,lyft_line,0:20:04
25-Feb-18,Sunday,Lyft Lux,2576,2576,2.77,750,lyft_lux,0:20:04
25-Feb-18,Sunday,Lyft,992,992,2.77,750,lyft,0:20:04
25-Feb-18,Sunday,Lyft Plus,1710,1710,2.77,750,lyft_plus,0:20:04
25-Feb-18,Sunday,Lyft Lux SUV,3461,3461,2.77,750,lyft_luxsuv,0:20:04
25-Feb-18,Sunday,Lyft Premier,1645,1645,1.85,653,lyft_premier,0:21:03
25-Feb-18,Sunday,Lyft Line,303,303,1.85,653,lyft_line,0:21:03
25-Feb-18,Sunday,Lyft Lux,2130,2130,1.85,653,lyft_lux,0:21:03
25-Feb-18,Sunday,Lyft,843,843,1.85,653,lyft,0:21:03
25-Feb-18,Sunday,Lyft Plus,1421,1421,1.85,653,lyft_plus,0:21:03
25-Feb-18,Sunday,Lyft Lux SUV,2974,2974,1.85,653,lyft_luxsuv,0:21:03
25-Feb-18,Sunday,Lyft Premier,2249,2249,3.45,829,lyft_premier,0:22:03
25-Feb-18,Sunday,Lyft Line,578,578,3.45,829,lyft_line,0:22:03
25-Feb-18,Sunday,Lyft Lux,2921,2921,3.45,829,lyft_lux,0:22:03
25-Feb-18,Sunday,Lyft,1112,1112,3.45,829,lyft,0:22:03
25-Feb-18,Sunday,Lyft Plus,1935,1935,3.45,829,lyft_plus,0:22:03
25-Feb-18,Sunday,Lyft Lux SUV,3838,3838,3.45,829,lyft_luxsuv,0:22:03
25-Feb-18,Sunday,Lyft Premier,1613,1613,1.89,598,lyft_premier,0:23:04
25-Feb-18,Sunday,Lyft Line,612,612,1.89,598,lyft_line,0:23:04
25-Feb-18,Sunday,Lyft Lux,2096,2096,1.89,598,lyft_lux,0:23:04
25-Feb-18,Sunday,Lyft,723,723,1.89,598,lyft,0:23:04
25-Feb-18,Sunday,Lyft Plus,1391,1391,1.89,598,lyft_plus,0:23:04
25-Feb-18,Sunday,Lyft Lux SUV,2937,2937,1.89,598,lyft_luxsuv,0:23:04
25-Feb-18,Sunday,Lyft Premier,1934,1934,1.87,563,lyft_premier,0:24:03
25-Feb-18,Sunday,Lyft Line,301,301,1.87,563,lyft_line,0:24:03
25-Feb-18,Sunday,Lyft Lux,2546,2546,1.87,563,lyft_lux,0:24:03
25-Feb-18,Sunday,Lyft,971,971,1.87,563,lyft,0:24:03
25-Feb-18,Sunday,Lyft Plus,1662,1662,1.87,563,lyft_plus,0:24:03
25-Feb-18,Sunday,Lyft Lux SUV,3592,3592,1.87,563,lyft_luxsuv,0:24:03
25-Feb-18,Sunday,Lyft Premier,1678,1678,2.1,600,lyft_premier,0:25:03
25-Feb-18,Sunday,Lyft Line,306,306,2.1,600,lyft_line,0:25:03
25-Feb-18,Sunday,Lyft Lux,2185,2185,2.1,600,lyft_lux,0:25:03
25-Feb-18,Sunday,Lyft,851,851,2.1,600,lyft,0:25:03
25-Feb-18,Sunday,Lyft Plus,1447,1447,2.1,600,lyft_plus,0:25:03
25-Feb-18,Sunday,Lyft Lux SUV,3033,3033,2.1,600,lyft_luxsuv,0:25:03
25-Feb-18,Sunday,Lyft Premier,1445,1445,1.62,472,lyft_premier,0:26:03
25-Feb-18,Sunday,Lyft Line,357,357,1.62,472,lyft_line,0:26:03
25-Feb-18,Sunday,Lyft Lux,1889,1889,1.62,472,lyft_lux,0:26:03
25-Feb-18,Sunday,Lyft,744,744,1.62,472,lyft,0:26:03
25-Feb-18,Sunday,Lyft Plus,1247,1247,1.62,472,lyft_plus,0:26:03
25-Feb-18,Sunday,Lyft Lux SUV,2709,2709,1.62,472,lyft_luxsuv,0:26:03
25-Feb-18,Sunday,Lyft Premier,1898,1898,2.71,647,lyft_premier,0:27:03
25-Feb-18,Sunday,Lyft Line,313,313,2.71,647,lyft_line,0:27:03
25-Feb-18,Sunday,Lyft Lux,2475,2475,2.71,647,lyft_lux,0:27:03
25-Feb-18,Sunday,Lyft,950,950,2.71,647,lyft,0:27:03
25-Feb-18,Sunday,Lyft Plus,1634,1634,2.71,647,lyft_plus,0:27:03
25-Feb-18,Sunday,Lyft Lux SUV,3349,3349,2.71,647,lyft_luxsuv,0:27:03
25-Feb-18,Sunday,Lyft Premier,1507,1507,1.87,453,lyft_premier,0:28:03
25-Feb-18,Sunday,Lyft Line,300,300,1.87,453,lyft_line,0:28:03
25-Feb-18,Sunday,Lyft Lux,1977,1977,1.87,453,lyft_lux,0:28:03
25-Feb-18,Sunday,Lyft,770,770,1.87,453,lyft,0:28:03
25-Feb-18,Sunday,Lyft Plus,1299,1299,1.87,453,lyft_plus,0:28:03
25-Feb-18,Sunday,Lyft Lux SUV,2804,2804,1.87,453,lyft_luxsuv,0:28:03
25-Feb-18,Sunday,Lyft Premier,2687,2687,3.55,698,lyft_premier,0:29:03
25-Feb-18,Sunday,Lyft Line,810,810,3.55,698,lyft_line,0:29:03
25-Feb-18,Sunday,Lyft Lux,3540,3540,3.55,698,lyft_lux,0:29:03
25-Feb-18,Sunday,Lyft,1307,1307,3.55,698,lyft,0:29:03
25-Feb-18,Sunday,Lyft Plus,2304,2304,3.55,698,lyft_plus,0:29:03
25-Feb-18,Sunday,Lyft Lux SUV,4677,4677,3.55,698,lyft_luxsuv,0:29:03
25-Feb-18,Sunday,Lyft Premier,2250,2250,3.31,895,lyft_premier,0:30:04
25-Feb-18,Sunday,Lyft Line,917,917,3.31,895,lyft_line,0:30:04
25-Feb-18,Sunday,Lyft Lux,2913,2913,3.31,895,lyft_lux,0:30:04
25-Feb-18,Sunday,Lyft,1019,1019,3.31,895,lyft,0:30:04
25-Feb-18,Sunday,Lyft Plus,1937,1937,3.31,895,lyft_plus,0:30:04
25-Feb-18,Sunday,Lyft Lux SUV,3830,3830,3.31,895,lyft_luxsuv,0:30:04
25-Feb-18,Sunday,Lyft Premier,1649,1649,2.11,550,lyft_premier,0:31:05
25-Feb-18,Sunday,Lyft Line,583,583,2.11,550,lyft_line,0:31:05
25-Feb-18,Sunday,Lyft Lux,2153,2153,2.11,550,lyft_lux,0:31:05
25-Feb-18,Sunday,Lyft,972,972,2.11,550,lyft,0:31:05
25-Feb-18,Sunday,Lyft Plus,1421,1421,2.11,550,lyft_plus,0:31:05
25-Feb-18,Sunday,Lyft Lux SUV,2997,2997,2.11,550,lyft_luxsuv,0:31:05
25-Feb-18,Sunday,Lyft Premier,2113,2113,3.33,667,lyft_premier,0:32:03
25-Feb-18,Sunday,Lyft Line,347,347,3.33,667,lyft_line,0:32:03
25-Feb-18,Sunday,Lyft Lux,2758,2758,3.33,667,lyft_lux,0:32:03
25-Feb-18,Sunday,Lyft,1053,1053,3.33,667,lyft,0:32:03
25-Feb-18,Sunday,Lyft Plus,1819,1819,3.33,667,lyft_plus,0:32:03
25-Feb-18,Sunday,Lyft Lux SUV,3656,3656,3.33,667,lyft_luxsuv,0:32:03
25-Feb-18,Sunday,Lyft Premier,2511,2511,4.19,856,lyft_premier,0:33:04
25-Feb-18,Sunday,Lyft Line,781,781,4.19,856,lyft_line,0:33:04
25-Feb-18,Sunday,Lyft Lux,3266,3266,4.19,856,lyft_lux,0:33:04
25-Feb-18,Sunday,Lyft,1239,1239,4.19,856,lyft,0:33:04
25-Feb-18,Sunday,Lyft Plus,2161,2161,4.19,856,lyft_plus,0:33:04
25-Feb-18,Sunday,Lyft Lux SUV,4212,4212,4.19,856,lyft_luxsuv,0:33:04
25-Feb-18,Sunday,Lyft Premier,1565,1565,1.92,516,lyft_premier,0:34:04
25-Feb-18,Sunday,Lyft Line,319,319,1.92,516,lyft_line,0:34:04
25-Feb-18,Sunday,Lyft Lux,2045,2045,1.92,516,lyft_lux,0:34:04
25-Feb-18,Sunday,Lyft,798,798,1.92,516,lyft,0:34:04
25-Feb-18,Sunday,Lyft Plus,1349,1349,1.92,516,lyft_plus,0:34:04
25-Feb-18,Sunday,Lyft Lux SUV,2879,2879,1.92,516,lyft_luxsuv,0:34:04
25-Feb-18,Sunday,Lyft Premier,2227,2227,2.52,618,lyft_premier,0:35:04
25-Feb-18,Sunday,Lyft Line,617,617,2.52,618,lyft_line,0:35:04
25-Feb-18,Sunday,Lyft Lux,2932,2932,2.52,618,lyft_lux,0:35:04
25-Feb-18,Sunday,Lyft,1102,1102,2.52,618,lyft,0:35:04
25-Feb-18,Sunday,Lyft Plus,1912,1912,2.52,618,lyft_plus,0:35:04
25-Feb-18,Sunday,Lyft Lux SUV,4014,4014,2.52,618,lyft_luxsuv,0:35:04
25-Feb-18,Sunday,Lyft Premier,2424,2424,2.89,684,lyft_premier,0:36:04
25-Feb-18,Sunday,Lyft Line,739,739,2.89,684,lyft_line,0:36:04
25-Feb-18,Sunday,Lyft Lux,3187,3187,2.89,684,lyft_lux,0:36:04
25-Feb-18,Sunday,Lyft,1192,1192,2.89,684,lyft,0:36:04
25-Feb-18,Sunday,Lyft Plus,2080,2080,2.89,684,lyft_plus,0:36:04
25-Feb-18,Sunday,Lyft Lux SUV,4292,4292,2.89,684,lyft_luxsuv,0:36:04
25-Feb-18,Sunday,Lyft Premier,2169,2169,3.41,734,lyft_premier,0:37:03
25-Feb-18,Sunday,Lyft Line,1050,1050,3.41,734,lyft_line,0:37:03
25-Feb-18,Sunday,Lyft Lux,2829,2829,3.41,734,lyft_lux,0:37:03
25-Feb-18,Sunday,Lyft,1208,1208,3.41,734,lyft,0:37:03
25-Feb-18,Sunday,Lyft Plus,1865,1865,3.41,734,lyft_plus,0:37:03
25-Feb-18,Sunday,Lyft Lux SUV,3736,3736,3.41,734,lyft_luxsuv,0:37:03
25-Feb-18,Sunday,Lyft Premier,1598,1598,2.2,436,lyft_premier,0:38:03
25-Feb-18,Sunday,Lyft Line,719,719,2.2,436,lyft_line,0:38:03
25-Feb-18,Sunday,Lyft Lux,2101,2101,2.2,436,lyft_lux,0:38:03
25-Feb-18,Sunday,Lyft,1135,1135,2.2,436,lyft,0:38:03
25-Feb-18,Sunday,Lyft Plus,1377,1377,2.2,436,lyft_plus,0:38:03
25-Feb-18,Sunday,Lyft Lux SUV,2939,2939,2.2,436,lyft_luxsuv,0:38:03
25-Feb-18,Sunday,Lyft Premier,2252,2252,3.37,872,lyft_premier,0:39:03
25-Feb-18,Sunday,Lyft Line,646,646,3.37,872,lyft_line,0:39:03
25-Feb-18,Sunday,Lyft Lux,2919,2919,3.37,872,lyft_lux,0:39:03
25-Feb-18,Sunday,Lyft,1114,1114,3.37,872,lyft,0:39:03
25-Feb-18,Sunday,Lyft Plus,1938,1938,3.37,872,lyft_plus,0:39:03
25-Feb-18,Sunday,Lyft Lux SUV,3837,3837,3.37,872,lyft_luxsuv,0:39:03
25-Feb-18,Sunday,Lyft Premier,2114,2114,2.15,647,lyft_premier,0:40:04
25-Feb-18,Sunday,Lyft Line,390,390,2.15,647,lyft_line,0:40:04
25-Feb-18,Sunday,Lyft Lux,2772,2772,2.15,647,lyft_lux,0:40:04
25-Feb-18,Sunday,Lyft,1055,1055,2.15,647,lyft,0:40:04
25-Feb-18,Sunday,Lyft Plus,1817,1817,2.15,647,lyft_plus,0:40:04
25-Feb-18,Sunday,Lyft Lux SUV,3840,3840,2.15,647,lyft_luxsuv,0:40:04
25-Feb-18,Sunday,Lyft Premier,2926,2926,3.01,677,lyft_premier,0:41:04
25-Feb-18,Sunday,Lyft Line,911,911,3.01,677,lyft_line,0:41:04
25-Feb-18,Sunday,Lyft Lux,3869,3869,3.01,677,lyft_lux,0:41:04
25-Feb-18,Sunday,Lyft,1424,1424,3.01,677,lyft,0:41:04
25-Feb-18,Sunday,Lyft Plus,2505,2505,3.01,677,lyft_plus,0:41:04
25-Feb-18,Sunday,Lyft Lux SUV,5200,5200,3.01,677,lyft_luxsuv,0:41:04
25-Feb-18,Sunday,Lyft Premier,2102,2102,2.37,539,lyft_premier,0:42:04
25-Feb-18,Sunday,Lyft Line,355,355,2.37,539,lyft_line,0:42:04
25-Feb-18,Sunday,Lyft Lux,2778,2778,2.37,539,lyft_lux,0:42:04
25-Feb-18,Sunday,Lyft,1043,1043,2.37,539,lyft,0:42:04
25-Feb-18,Sunday,Lyft Plus,1804,1804,2.37,539,lyft_plus,0:42:04
25-Feb-18,Sunday,Lyft Lux SUV,3844,3844,2.37,539,lyft_luxsuv,0:42:04
25-Feb-18,Sunday,Lyft Premier,1899,1899,1.42,392,lyft_premier,0:43:04
25-Feb-18,Sunday,Lyft Line,315,315,1.42,392,lyft_line,0:43:04
25-Feb-18,Sunday,Lyft Lux,2547,2547,1.42,392,lyft_lux,0:43:04
25-Feb-18,Sunday,Lyft,954,954,1.42,392,lyft,0:43:04
25-Feb-18,Sunday,Lyft Plus,1627,1627,1.42,392,lyft_plus,0:43:04
25-Feb-18,Sunday,Lyft Lux SUV,3885,3885,1.42,392,lyft_luxsuv,0:43:04
25-Feb-18,Sunday,Lyft Premier,2491,2491,2.31,566,lyft_premier,0:44:04
25-Feb-18,Sunday,Lyft Line,797,797,2.31,566,lyft_line,0:44:04
25-Feb-18,Sunday,Lyft Lux,3306,3306,2.31,566,lyft_lux,0:44:04
25-Feb-18,Sunday,Lyft,1226,1226,2.31,566,lyft,0:44:04
25-Feb-18,Sunday,Lyft Plus,2133,2133,2.31,566,lyft_plus,0:44:04
25-Feb-18,Sunday,Lyft Lux SUV,4585,4585,2.31,566,lyft_luxsuv,0:44:04
25-Feb-18,Sunday,Lyft Premier,2163,2163,1.65,547,lyft_premier,0:45:04
25-Feb-18,Sunday,Lyft Line,550,550,1.65,547,lyft_line,0:45:04
25-Feb-18,Sunday,Lyft Lux,2868,2868,1.65,547,lyft_lux,0:45:04
25-Feb-18,Sunday,Lyft,1079,1079,1.65,547,lyft,0:45:04
25-Feb-18,Sunday,Lyft Plus,1855,1855,1.65,547,lyft_plus,0:45:04
25-Feb-18,Sunday,Lyft Lux SUV,4109,4109,1.65,547,lyft_luxsuv,0:45:04
25-Feb-18,Sunday,Lyft Premier,1774,1774,2.6,517,lyft_premier,0:46:04
25-Feb-18,Sunday,Lyft Line,320,320,2.6,517,lyft_line,0:46:04
25-Feb-18,Sunday,Lyft Lux,2328,2328,2.6,517,lyft_lux,0:46:04
25-Feb-18,Sunday,Lyft,890,890,2.6,517,lyft,0:46:04
25-Feb-18,Sunday,Lyft Plus,1527,1527,2.6,517,lyft_plus,0:46:04
25-Feb-18,Sunday,Lyft Lux SUV,3188,3188,2.6,517,lyft_luxsuv,0:46:04
25-Feb-18,Sunday,Lyft Premier,2636,2636,2.28,723,lyft_premier,0:47:03
25-Feb-18,Sunday,Lyft Line,818,818,2.28,723,lyft_line,0:47:03
25-Feb-18,Sunday,Lyft Lux,3466,3466,2.28,723,lyft_lux,0:47:03
25-Feb-18,Sunday,Lyft,1299,1299,2.28,723,lyft,0:47:03
25-Feb-18,Sunday,Lyft Plus,2261,2261,2.28,723,lyft_plus,0:47:03
25-Feb-18,Sunday,Lyft Lux SUV,4763,4763,2.28,723,lyft_luxsuv,0:47:03
25-Feb-18,Sunday,Lyft Premier,1598,1598,2.2,436,lyft_premier,0:48:03
25-Feb-18,Sunday,Lyft Line,719,719,2.2,436,lyft_line,0:48:03
25-Feb-18,Sunday,Lyft Lux,2101,2101,2.2,436,lyft_lux,0:48:03
25-Feb-18,Sunday,Lyft,1135,1135,2.2,436,lyft,0:48:03
25-Feb-18,Sunday,Lyft Plus,1377,1377,2.2,436,lyft_plus,0:48:03
25-Feb-18,Sunday,Lyft Lux SUV,2939,2939,2.2,436,lyft_luxsuv,0:48:03
25-Feb-18,Sunday,Lyft Premier,3355,3355,3.67,799,lyft_premier,0:49:04
25-Feb-18,Sunday,Lyft Line,1040,1040,3.67,799,lyft_line,0:49:04
25-Feb-18,Sunday,Lyft Lux,4421,4421,3.67,799,lyft_lux,0:49:04
25-Feb-18,Sunday,Lyft,1622,1622,3.67,799,lyft,0:49:04
25-Feb-18,Sunday,Lyft Plus,2873,2873,3.67,799,lyft_plus,0:49:04
25-Feb-18,Sunday,Lyft Lux SUV,5804,5804,3.67,799,lyft_luxsuv,0:49:04
25-Feb-18,Sunday,Lyft Premier,1700,1700,2.19,592,lyft_premier,0:50:04
25-Feb-18,Sunday,Lyft Line,301,301,2.19,592,lyft_line,0:50:04
25-Feb-18,Sunday,Lyft Lux,2216,2216,2.19,592,lyft_lux,0:50:04
25-Feb-18,Sunday,Lyft,860,860,2.19,592,lyft,0:50:04
25-Feb-18,Sunday,Lyft Plus,1465,1465,2.19,592,lyft_plus,0:50:04
25-Feb-18,Sunday,Lyft Lux SUV,3067,3067,2.19,592,lyft_luxsuv,0:50:04
25-Feb-18,Sunday,Lyft Premier,2178,2178,2.41,607,lyft_premier,0:51:03
